10453,3874_PC,40.853,-73.914
10458,3879_PC,40.861,-73.885
10451,3872_PC,40.821,-73.924
10454,3875_PC,40.806,-73.918
10463,3884_PC,40.888,-73.911
10466,3887_PC,40.891,-73.846
10461,3882_PC,40.847,-73.841
11212,4097_PC,40.663,-73.913
11209,4094_PC,40.625,-74.031
11204,4089_PC,40.619,-73.985
11234,4118_PC,40.61,-73.905
11223,4108_PC,40.597,-73.973
11201,4086_PC,40.696,-73.987
11203,4088_PC,40.65,-73.934
11207,4092_PC,40.671,-73.894
11211,4096_PC,40.714,-73.945
11220,4105_PC,40.641,-74.016
11206,4091_PC,40.702,-73.942
10026,3721_PC,40.801,-73.953
10001,3697_PC,40.75,-73.997
10029,3724_PC,40.792,-73.946
10010,3706_PC,40.731,-73.972
10012,3708_PC,40.726,-73.998
10004,3700_PC,40.694,-74.016
10002,3698_PC,40.714,-73.984
10021,3716_PC,40.769,-73.96
10023,3718_PC,40.775,-73.981
10031,3726_PC,40.825,-73.95
11361,4143_PC,40.764,-73.773
11354,4136_PC,40.77,-73.826
11365,4147_PC,40.74,-73.795
11412,4168_PC,40.698,-73.759
11104,4081_PC,40.744,-73.921
11374,4156_PC,40.725,-73.862
11691,4246_PC,40.601,-73.762
11004,4058_PC,40.745,-73.711
11414,4170_PC,40.658,-73.845
11368,4150_PC,40.749,-73.854
10302,3859_PC,40.637,-74.127
10306,3863_PC,40.571,-74.125
10301,3858_PC,40.63,-74.096
10314,3871_PC,40.602,-74.165
